ra,dec,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
30.6518720493914,-3.20118861130267,3,23.08288,23.10676,22.40594,21.82089,21.37035,0.5855729,0.2769051,0.2004634,0.1562741,0.4716093,22.8228,22.85879,22.0574,21.58879,21.24962,0.5645428,0.2638164,0.1925439,0.1722005,0.5368897
30.780573489756,-3.33378473485133,3,22.41289,22.24632,21.25078,21.11399,20.83585,0.2937182,0.08184617,0.0605779,0.07975725,0.1882108,22.30359,21.83326,20.90988,20.74814,20.49487,0.3422858,0.07701052,0.05688747,0.07525342,0.1971467
30.6523731810761,-3.34050170383984,3,24.96891,22.84602,21.75683,20.97965,20.8368,1.043583,0.1374346,0.09332584,0.07121515,0.1932354,25.34908,22.46213,21.39282,20.6664,20.45019,1.179094,0.135939,0.08970336,0.07108793,0.1987892
30.781789395951,-3.19607464726136,3,26.33661,25.16592,23.10574,21.58335,20.86588,0.5422236,0.8521116,0.3565263,0.125809,0.3066626,26.61665,25.03707,22.80971,21.34369,20.85815,0.4661971,0.950204,0.3275623,0.124252,0.3497173
30.7809604845585,-3.18682421355955,3,22.92284,23.95814,23.0331,21.61069,21.13421,0.5545819,0.5285876,0.3353293,0.1286765,0.3850786,23.08277,24.08878,22.91088,21.43469,20.94737,0.6892067,0.6333488,0.3462297,0.1297947,0.3631517
30.7813457455581,-3.21301087058727,3,23.33688,22.93618,22.09104,21.26345,20.27076,0.7550588,0.2311408,0.1488434,0.09593356,0.1819334,22.00081,21.52365,20.49883,19.62916,18.90956,0.7135472,0.2006553,0.1279556,0.08590573,0.1779471
30.7806804892756,-3.19941223581495,3,23.16439,23.0344,21.92802,21.71121,21.46617,0.6634727,0.2513195,0.1288076,0.140522,0.5029724,23.65456,23.04344,21.85592,21.60732,21.47788,0.999796,0.2683687,0.1319386,0.1438662,0.5442952
30.7808133023852,-3.23247986302482,3,22.78983,23.45401,22.34111,22.24269,21.14987,0.49211,0.3603873,0.1850729,0.2228085,0.3890806,22.14369,22.88289,21.56119,21.39947,20.48678,0.479357,0.3937014,0.1810223,0.2209178,0.4076278
30.7817942983926,-3.22584140375805,3,21.94937,22.10452,21.48867,21.52703,20.95759,0.2374994,0.1136427,0.08871462,0.1199853,0.3313471,21.59308,21.7931,20.91662,20.8449,20.32965,0.2231737,0.1119699,0.07770835,0.1063932,0.2660691
30.6515436562557,-3.16171113966845,3,25.24678,23.7958,22.42204,21.18115,20.31161,1.104853,0.7302827,0.2020084,0.09084637,0.1915496,26.32215,23.49439,22.01156,20.78668,20.05079,0.6452604,0.4721909,0.1881076,0.08690262,0.1942201
30.652030461277,-3.20422506709058,3,23.12823,22.58607,21.09675,20.26519,19.59045,0.6092476,0.1763188,0.06498038,0.0470394,0.1016001,23.23539,22.46193,20.79613,19.89656,19.36615,0.8055193,0.1892599,0.06269763,0.03876104,0.1022365
